,HT,AT,R,MV_HT,MV_AT,POS_HT,POS_AT
382,FC Augsburg,SV Darmstadt 98,away,75.83,25.15,16,10
383,SV Werder Bremen,FC Bayern München,away,64.68,596.05,14,1
384,Eintracht Frankfurt,Borussia Mönchengladbach,away,76.60,186.15,12,13
385,1.FC Köln,Hannover 96,away,68.63,60.83,5,17
386,VfB Stuttgart,FC Ingolstadt 04,home,81.18,35.65,18,6
387,TSG 1899 Hoffenheim,Hamburger SV,away,90.20,63.20,17,12
388,FC Bayern München,1.FC Köln,home,596.05,68.63,1,6
389,Bayer 04 Leverkusen,VfB Stuttgart,home,241.30,81.18,7,15
390,Hannover 96,Eintracht Frankfurt,away,60.83,76.60,14,13
391,1.FSV Mainz 05,SV Werder Bremen,away,85.15,64.68,11,16
392,SV Darmstadt 98,VfL Wolfsburg,away,25.15,270.43,9,4
393,FC Ingolstadt 04,Hertha BSC,away,35.65,78.93,8,5
394,Borussia Dortmund,FC Augsburg,home,352.95,75.83,2,18
395,Borussia Mönchengladbach,FC Schalke 04,home,186.15,225.20,10,3
396,Eintracht Frankfurt,FC Bayern München,draw,76.60,596.05,12,1
397,FC Schalke 04,FC Ingolstadt 04,draw,225.20,35.65,3,8
398,FC Augsburg,1.FSV Mainz 05,draw,75.83,85.15,18,13
399,SV Werder Bremen,Borussia Dortmund,away,64.68,352.95,14,2
400,1.FC Köln,TSG 1899 Hoffenheim,draw,68.63,90.20,9,17
401,Hertha BSC,Borussia Mönchengladbach,away,78.93,186.15,5,7
402,VfL Wolfsburg,Bayer 04 Leverkusen,home,270.43,241.30,4,6
403,VfB Stuttgart,SV Darmstadt 98,home,81.18,25.15,16,11
404,Hamburger SV,Hannover 96,away,63.20,60.83,10,15
405,Hannover 96,Hertha BSC,away,60.83,78.93,14,6
406,FC Bayern München,VfB Stuttgart,home,596.05,81.18,1,15
407,Bayer 04 Leverkusen,1.FC Köln,away,241.30,68.63,7,9
408,Borussia Mönchengladbach,FC Ingolstadt 04,draw,186.15,35.65,5,8
409,TSG 1899 Hoffenheim,Eintracht Frankfurt,draw,90.20,76.60,17,11
410,1.FSV Mainz 05,VfL Wolfsburg,home,85.15,270.43,12,3
411,SV Darmstadt 98,Hamburger SV,draw,25.15,63.20,13,10
412,Borussia Dortmund,FC Schalke 04,home,352.95,225.20,2,4
413,FC Augsburg,SV Werder Bremen,away,75.83,64.68,18,16
414,Hamburger SV,Borussia Dortmund,home,63.20,352.95,11,2
415,Borussia Mönchengladbach,Hannover 96,home,186.15,60.83,6,15
416,VfL Wolfsburg,SV Werder Bremen,home,270.43,64.68,3,14
417,Eintracht Frankfurt,Bayer 04 Leverkusen,away,76.60,241.30,12,8
418,1.FC Köln,1.FSV Mainz 05,draw,68.63,85.15,7,9
419,VfB Stuttgart,FC Augsburg,away,81.18,75.83,16,18
420,FC Schalke 04,FC Bayern München,away,225.20,596.05,5,1
421,Hertha BSC,TSG 1899 Hoffenheim,home,78.93,90.20,4,17
422,FC Ingolstadt 04,SV Darmstadt 98,home,35.65,25.15,10,13
423,SV Darmstadt 98,1.FC Köln,draw,25.15,68.63,13,9
424,FC Bayern München,Hertha BSC,home,596.05,78.93,1,4
425,SV Werder Bremen,Hamburger SV,away,64.68,63.20,14,10
426,Hannover 96,FC Ingolstadt 04,home,60.83,35.65,15,8
427,TSG 1899 Hoffenheim,Borussia Mönchengladbach,draw,90.20,186.15,18,5
428,1.FSV Mainz 05,Eintracht Frankfurt,home,85.15,76.60,11,12
429,Borussia Dortmund,VfB Stuttgart,home,352.95,81.18,2,16
430,Bayer 04 Leverkusen,FC Schalke 04,draw,241.30,225.20,6,7
431,FC Augsburg,VfL Wolfsburg,draw,75.83,270.43,17,3
432,FC Schalke 04,Hannover 96,home,225.20,60.83,8,14
433,Hertha BSC,Bayer 04 Leverkusen,home,78.93,241.30,5,6
434,FC Ingolstadt 04,TSG 1899 Hoffenheim,draw,35.65,90.20,11,18
435,Borussia Mönchengladbach,FC Bayern München,home,186.15,596.05,4,1
436,Hamburger SV,1.FSV Mainz 05,away,63.20,85.15,7,9
437,1.FC Köln,FC Augsburg,away,68.63,75.83,10,16
438,VfL Wolfsburg,Borussia Dortmund,away,270.43,352.95,3,2
439,VfB Stuttgart,SV Werder Bremen,draw,81.18,64.68,17,15
440,Eintracht Frankfurt,SV Darmstadt 98,away,76.60,25.15,13,12
441,1.FSV Mainz 05,VfB Stuttgart,draw,85.15,81.18,7,17
442,FC Bayern München,FC Ingolstadt 04,home,596.05,35.65,1,11
443,VfL Wolfsburg,Hamburger SV,draw,270.43,63.20,5,9
444,SV Werder Bremen,1.FC Köln,draw,64.68,68.63,15,10
445,TSG 1899 Hoffenheim,Hannover 96,home,90.20,60.83,18,14
446,SV Darmstadt 98,Hertha BSC,away,25.15,78.93,12,4
447,Bayer 04 Leverkusen,Borussia Mönchengladbach,home,241.30,186.15,8,3
448,FC Augsburg,FC Schalke 04,home,75.83,225.20,16,6
449,Borussia Dortmund,Eintracht Frankfurt,home,352.95,76.60,2,13
450,FC Schalke 04,TSG 1899 Hoffenheim,home,225.20,90.20,8,17
451,Hamburger SV,FC Augsburg,away,63.20,75.83,9,13
452,Eintracht Frankfurt,SV Werder Bremen,home,76.60,64.68,15,14
453,1.FC Köln,Borussia Dortmund,home,68.63,352.95,10,2
454,Hannover 96,FC Bayern München,away,60.83,596.05,16,1
455,FC Ingolstadt 04,Bayer 04 Leverkusen,away,35.65,241.30,11,6
456,VfB Stuttgart,VfL Wolfsburg,home,81.18,270.43,18,4
457,Hertha BSC,1.FSV Mainz 05,home,78.93,85.15,3,7
458,Borussia Mönchengladbach,SV Darmstadt 98,home,186.15,25.15,5,12
459,Hamburger SV,FC Bayern München,away,63.20,596.05,10,1
460,1.FC Köln,VfB Stuttgart,away,68.63,81.18,9,15
461,Hannover 96,SV Darmstadt 98,away,60.83,25.15,17,13
462,Hertha BSC,FC Augsburg,draw,78.93,75.83,3,12
463,TSG 1899 Hoffenheim,Bayer 04 Leverkusen,draw,90.20,241.30,18,5
464,FC Ingolstadt 04,1.FSV Mainz 05,home,35.65,85.15,11,8
465,Borussia Mönchengladbach,Borussia Dortmund,away,186.15,352.95,4,2
466,Eintracht Frankfurt,VfL Wolfsburg,home,76.60,270.43,14,7
467,FC Schalke 04,SV Werder Bremen,away,225.20,64.68,6,16
468,1.FSV Mainz 05,Borussia Mönchengladbach,home,85.15,186.15,8,4
469,Borussia Dortmund,FC Ingolstadt 04,home,352.95,35.65,2,10
470,Bayer 04 Leverkusen,Hannover 96,home,241.30,60.83,5,18
471,FC Augsburg,Eintracht Frankfurt,draw,75.83,76.60,13,14
472,SV Werder Bremen,Hertha BSC,draw,64.68,78.93,16,3
473,SV Darmstadt 98,FC Schalke 04,away,25.15,225.20,12,6
474,VfB Stuttgart,Hamburger SV,home,81.18,63.20,15,11
475,VfL Wolfsburg,1.FC Köln,draw,270.43,68.63,7,9
476,FC Bayern München,TSG 1899 Hoffenheim,home,596.05,90.20,1,17
477,Borussia Mönchengladbach,SV Werder Bremen,home,186.15,64.68,6,16
478,FC Schalke 04,VfL Wolfsburg,home,225.20,270.43,5,7
479,Eintracht Frankfurt,VfB Stuttgart,away,76.60,81.18,13,15
480,Hannover 96,1.FSV Mainz 05,away,60.83,85.15,18,8
481,Hertha BSC,Borussia Dortmund,draw,78.93,352.95,3,2
482,FC Ingolstadt 04,FC Augsburg,home,35.65,75.83,10,12
483,Bayer 04 Leverkusen,FC Bayern München,draw,241.30,596.05,4,1
484,Hamburger SV,1.FC Köln,draw,63.20,68.63,11,9
485,TSG 1899 Hoffenheim,SV Darmstadt 98,away,90.20,25.15,17,14
486,1.FSV Mainz 05,FC Schalke 04,home,85.15,225.20,7,4
487,Borussia Dortmund,Hannover 96,home,352.95,60.83,2,18
488,VfL Wolfsburg,FC Ingolstadt 04,home,270.43,35.65,8,10
489,VfB Stuttgart,Hertha BSC,home,81.18,78.93,12,3
490,SV Werder Bremen,TSG 1899 Hoffenheim,draw,64.68,90.20,16,17
491,SV Darmstadt 98,Bayer 04 Leverkusen,away,25.15,241.30,11,5
492,1.FC Köln,Eintracht Frankfurt,home,68.63,76.60,9,15
493,Hamburger SV,Borussia Mönchengladbach,home,63.20,186.15,13,6
494,FC Augsburg,FC Bayern München,away,75.83,596.05,14,1
495,Eintracht Frankfurt,Hamburger SV,draw,76.60,63.20,15,11
496,FC Bayern München,SV Darmstadt 98,home,596.05,25.15,1,13
497,Borussia Mönchengladbach,1.FC Köln,home,186.15,68.63,7,9
498,Hertha BSC,VfL Wolfsburg,draw,78.93,270.43,4,8
499,TSG 1899 Hoffenheim,1.FSV Mainz 05,home,90.20,85.15,17,6
500,FC Ingolstadt 04,SV Werder Bremen,home,35.65,64.68,12,16
501,Bayer 04 Leverkusen,Borussia Dortmund,away,241.30,352.95,3,2
502,FC Schalke 04,VfB Stuttgart,draw,225.20,81.18,5,10
503,Hannover 96,FC Augsburg,away,60.83,75.83,18,14
504,1.FC Köln,Hertha BSC,away,68.63,78.93,9,3
505,VfL Wolfsburg,FC Bayern München,away,270.43,596.05,8,1
506,Hamburger SV,FC Ingolstadt 04,draw,63.20,35.65,12,10
507,VfB Stuttgart,Hannover 96,away,81.18,60.83,11,18
508,SV Werder Bremen,SV Darmstadt 98,draw,64.68,25.15,16,14
509,FC Augsburg,Borussia Mönchengladbach,draw,75.83,186.15,13,5
510,Borussia Dortmund,TSG 1899 Hoffenheim,home,352.95,90.20,2,17
511,1.FSV Mainz 05,Bayer 04 Leverkusen,home,85.15,241.30,7,4
512,Eintracht Frankfurt,FC Schalke 04,draw,76.60,225.20,15,6
513,Hannover 96,VfL Wolfsburg,away,60.83,270.43,18,8
514,FC Ingolstadt 04,1.FC Köln,draw,35.65,68.63,9,10
515,FC Bayern München,1.FSV Mainz 05,away,596.05,85.15,1,5
516,FC Schalke 04,Hamburger SV,home,225.20,63.20,7,11
517,Bayer 04 Leverkusen,SV Werder Bremen,away,241.30,64.68,6,16
518,Borussia Mönchengladbach,VfB Stuttgart,home,186.15,81.18,4,12
519,Hertha BSC,Eintracht Frankfurt,home,78.93,76.60,3,15
520,TSG 1899 Hoffenheim,FC Augsburg,home,90.20,75.83,17,13
521,SV Darmstadt 98,Borussia Dortmund,away,25.15,352.95,14,2
522,VfL Wolfsburg,Borussia Mönchengladbach,home,270.43,186.15,8,4
523,VfB Stuttgart,TSG 1899 Hoffenheim,home,81.18,90.20,12,17
524,FC Augsburg,Bayer 04 Leverkusen,draw,75.83,241.30,13,7
525,SV Werder Bremen,Hannover 96,home,64.68,60.83,15,18
526,Eintracht Frankfurt,FC Ingolstadt 04,draw,76.60,35.65,16,9
527,1.FC Köln,FC Schalke 04,away,68.63,225.20,10,6
528,Borussia Dortmund,FC Bayern München,draw,352.95,596.05,2,1
529,1.FSV Mainz 05,SV Darmstadt 98,draw,85.15,25.15,5,14
530,Hamburger SV,Hertha BSC,home,63.20,78.93,11,3
531,Hertha BSC,FC Schalke 04,home,78.93,225.20,3,4
532,Borussia Mönchengladbach,Eintracht Frankfurt,home,186.15,76.60,6,16
533,Hannover 96,1.FC Köln,away,60.83,68.63,18,12
534,TSG 1899 Hoffenheim,VfL Wolfsburg,home,90.20,270.43,17,7
535,FC Ingolstadt 04,VfB Stuttgart,draw,35.65,81.18,9,11
536,SV Darmstadt 98,FC Augsburg,draw,25.15,75.83,15,14
537,FC Bayern München,SV Werder Bremen,home,596.05,64.68,1,13
538,Bayer 04 Leverkusen,Hamburger SV,home,241.30,63.20,8,10
539,Borussia Dortmund,1.FSV Mainz 05,home,352.95,85.15,2,5
540,FC Schalke 04,Borussia Mönchengladbach,home,225.20,186.15,5,4
541,VfL Wolfsburg,SV Darmstadt 98,draw,270.43,25.15,8,14
542,Hamburger SV,TSG 1899 Hoffenheim,away,63.20,90.20,12,17
543,SV Werder Bremen,1.FSV Mainz 05,draw,64.68,85.15,15,6
544,1.FC Köln,FC Bayern München,away,68.63,596.05,9,1
545,Hertha BSC,FC Ingolstadt 04,home,78.93,35.65,3,10
546,Eintracht Frankfurt,Hannover 96,home,76.60,60.83,16,18
547,VfB Stuttgart,Bayer 04 Leverkusen,away,81.18,241.30,11,7
548,FC Augsburg,Borussia Dortmund,away,75.83,352.95,13,2
549,Bayer 04 Leverkusen,VfL Wolfsburg,home,241.30,270.43,6,8
550,FC Bayern München,Eintracht Frankfurt,home,596.05,76.60,1,17
551,Hannover 96,Hamburger SV,away,60.83,63.20,18,12
552,1.FSV Mainz 05,FC Augsburg,home,85.15,75.83,7,15
553,FC Ingolstadt 04,FC Schalke 04,home,35.65,225.20,10,4
554,SV Darmstadt 98,VfB Stuttgart,draw,25.15,81.18,13,11
555,Borussia Dortmund,SV Werder Bremen,home,352.95,64.68,2,14
556,Borussia Mönchengladbach,Hertha BSC,home,186.15,78.93,5,3
557,TSG 1899 Hoffenheim,1.FC Köln,draw,90.20,68.63,16,9
558,Hertha BSC,Hannover 96,draw,78.93,60.83,3,18
559,Hamburger SV,SV Darmstadt 98,away,63.20,25.15,10,13
560,VfB Stuttgart,FC Bayern München,away,81.18,596.05,12,1
561,SV Werder Bremen,FC Augsburg,away,64.68,75.83,15,16
562,Eintracht Frankfurt,TSG 1899 Hoffenheim,away,76.60,90.20,17,14
563,FC Ingolstadt 04,Borussia Mönchengladbach,home,35.65,186.15,9,4
564,VfL Wolfsburg,1.FSV Mainz 05,draw,270.43,85.15,8,6
565,FC Schalke 04,Borussia Dortmund,draw,225.20,352.95,7,2
566,1.FC Köln,Bayer 04 Leverkusen,away,68.63,241.30,11,5
567,Hannover 96,Borussia Mönchengladbach,home,60.83,186.15,18,5
568,Bayer 04 Leverkusen,Eintracht Frankfurt,home,241.30,76.60,4,17
569,FC Augsburg,VfB Stuttgart,home,75.83,81.18,15,12
570,SV Werder Bremen,VfL Wolfsburg,home,64.68,270.43,16,8
571,TSG 1899 Hoffenheim,Hertha BSC,home,90.20,78.93,14,3
572,SV Darmstadt 98,FC Ingolstadt 04,home,25.15,35.65,13,9
573,FC Bayern München,FC Schalke 04,home,596.05,225.20,1,7
574,Borussia Dortmund,Hamburger SV,home,352.95,63.20,2,10
575,1.FSV Mainz 05,1.FC Köln,away,85.15,68.63,6,11
576,Hamburger SV,SV Werder Bremen,home,63.20,64.68,12,16
577,VfL Wolfsburg,FC Augsburg,away,270.43,75.83,8,14
578,VfB Stuttgart,Borussia Dortmund,away,81.18,352.95,15,2
579,1.FC Köln,SV Darmstadt 98,home,68.63,25.15,10,11
580,Hertha BSC,FC Bayern München,away,78.93,596.05,4,1
581,FC Ingolstadt 04,Hannover 96,draw,35.65,60.83,9,18
582,FC Schalke 04,Bayer 04 Leverkusen,away,225.20,241.30,7,3
583,Borussia Mönchengladbach,TSG 1899 Hoffenheim,home,186.15,90.20,5,13
584,Eintracht Frankfurt,1.FSV Mainz 05,home,76.60,85.15,17,6
585,FC Augsburg,1.FC Köln,draw,75.83,68.63,12,8
586,FC Bayern München,Borussia Mönchengladbach,draw,596.05,186.15,1,5
587,Borussia Dortmund,VfL Wolfsburg,home,352.95,270.43,2,10
588,Hannover 96,FC Schalke 04,away,60.83,225.20,18,7
589,TSG 1899 Hoffenheim,FC Ingolstadt 04,home,90.20,35.65,14,9
590,1.FSV Mainz 05,Hamburger SV,draw,85.15,63.20,6,11
591,SV Darmstadt 98,Eintracht Frankfurt,away,25.15,76.60,13,17
592,Bayer 04 Leverkusen,Hertha BSC,home,241.30,78.93,3,4
593,SV Werder Bremen,VfB Stuttgart,home,64.68,81.18,16,15
594,FC Schalke 04,FC Augsburg,draw,225.20,75.83,6,12
595,Borussia Mönchengladbach,Bayer 04 Leverkusen,home,186.15,241.30,4,3
596,Hamburger SV,VfL Wolfsburg,away,63.20,270.43,11,10
597,VfB Stuttgart,1.FSV Mainz 05,away,81.18,85.15,17,7
598,Eintracht Frankfurt,Borussia Dortmund,home,76.60,352.95,16,2
599,1.FC Köln,SV Werder Bremen,draw,68.63,64.68,8,15
600,Hannover 96,TSG 1899 Hoffenheim,home,60.83,90.20,18,13
601,Hertha BSC,SV Darmstadt 98,away,78.93,25.15,5,14
602,FC Ingolstadt 04,FC Bayern München,away,35.65,596.05,9,1
603,FC Bayern München,Hannover 96,home,596.05,60.83,1,18
604,Borussia Dortmund,1.FC Köln,draw,352.95,68.63,2,9
605,Bayer 04 Leverkusen,FC Ingolstadt 04,home,241.30,35.65,3,10
606,VfL Wolfsburg,VfB Stuttgart,home,270.43,81.18,8,17
607,FC Augsburg,Hamburger SV,away,75.83,63.20,11,12
608,SV Werder Bremen,Eintracht Frankfurt,home,64.68,76.60,16,15
609,TSG 1899 Hoffenheim,FC Schalke 04,away,90.20,225.20,14,7
610,1.FSV Mainz 05,Hertha BSC,draw,85.15,78.93,5,6
611,SV Darmstadt 98,Borussia Mönchengladbach,away,25.15,186.15,13,4
612,FC Bayern München,SV Werder Bremen,home,562.55,89.45,9,9
613,Borussia Dortmund,1.FSV Mainz 05,home,390.65,96.73,9,9
614,1.FC Köln,SV Darmstadt 98,home,116.15,25.98,9,9
615,Hamburger SV,FC Ingolstadt 04,draw,80.48,38.63,9,9
616,FC Augsburg,VfL Wolfsburg,away,65.85,203.08,9,9
617,Eintracht Frankfurt,FC Schalke 04,home,72.25,217.25,9,9
618,Borussia Mönchengladbach,Bayer 04 Leverkusen,home,162.18,265.03,9,9
619,Hertha BSC,SC Freiburg,home,96.53,86.73,9,9
620,TSG 1899 Hoffenheim,RasenBallsport Leipzig,draw,138.63,176.33,9,9
621,FC Schalke 04,FC Bayern München,away,217.25,562.55,15,1
622,Bayer 04 Leverkusen,Hamburger SV,home,265.03,80.48,13,10
623,VfL Wolfsburg,1.FC Köln,draw,203.08,116.15,3,2
624,FC Ingolstadt 04,Hertha BSC,away,38.63,96.53,11,4
625,SV Darmstadt 98,Eintracht Frankfurt,home,25.98,72.25,16,7
626,SC Freiburg,Borussia Mönchengladbach,home,86.73,162.18,14,5
627,RasenBallsport Leipzig,Borussia Dortmund,home,176.33,390.65,9,6
628,SV Werder Bremen,FC Augsburg,away,89.45,65.85,18,17
629,1.FSV Mainz 05,TSG 1899 Hoffenheim,draw,96.73,138.63,12,8
630,1.FC Köln,SC Freiburg,home,116.15,86.73,4,6
631,FC Bayern München,FC Ingolstadt 04,home,562.55,38.63,1,16
632,Borussia Dortmund,SV Darmstadt 98,home,390.65,25.98,8,12
633,Hamburger SV,RasenBallsport Leipzig,away,80.48,176.33,15,5
634,TSG 1899 Hoffenheim,VfL Wolfsburg,draw,138.63,203.08,13,3
635,Eintracht Frankfurt,Bayer 04 Leverkusen,home,72.25,265.03,9,7
636,Borussia Mönchengladbach,SV Werder Bremen,home,162.18,89.45,10,18
637,FC Augsburg,1.FSV Mainz 05,away,65.85,96.73,11,14
638,Hertha BSC,FC Schalke 04,home,96.53,217.25,2,17
639,VfL Wolfsburg,Borussia Dortmund,away,203.08,390.65,8,5
640,FC Ingolstadt 04,Eintracht Frankfurt,away,38.63,72.25,15,7
641,SV Darmstadt 98,TSG 1899 Hoffenheim,draw,25.98,138.63,14,10
642,SC Freiburg,Hamburger SV,home,86.73,80.48,12,16
643,FC Bayern München,Hertha BSC,home,562.55,96.53,1,2
644,Bayer 04 Leverkusen,FC Augsburg,draw,265.03,65.85,11,13
645,FC Schalke 04,1.FC Köln,away,217.25,116.15,17,4
646,SV Werder Bremen,1.FSV Mainz 05,away,89.45,96.73,18,9
647,RasenBallsport Leipzig,Borussia Mönchengladbach,draw,176.33,162.18,3,6
648,Borussia Dortmund,SC Freiburg,home,390.65,86.73,3,9
649,Borussia Mönchengladbach,FC Ingolstadt 04,home,162.18,38.63,8,15
650,1.FSV Mainz 05,Bayer 04 Leverkusen,away,96.73,265.03,7,12
651,Hamburger SV,FC Bayern München,away,80.48,562.55,16,1
652,FC Augsburg,SV Darmstadt 98,home,65.85,25.98,13,14
653,Eintracht Frankfurt,Hertha BSC,draw,72.25,96.53,4,5
654,SV Werder Bremen,VfL Wolfsburg,home,89.45,203.08,18,10
655,TSG 1899 Hoffenheim,FC Schalke 04,home,138.63,217.25,11,17
656,1.FC Köln,RasenBallsport Leipzig,draw,116.15,176.33,2,6
657,RasenBallsport Leipzig,FC Augsburg,home,176.33,65.85,7,11
658,FC Bayern München,1.FC Köln,draw,562.55,116.15,1,3
659,Hertha BSC,Hamburger SV,home,96.53,80.48,6,16
660,FC Ingolstadt 04,TSG 1899 Hoffenheim,away,38.63,138.63,17,9
661,SV Darmstadt 98,SV Werder Bremen,draw,25.98,89.45,14,15
662,SC Freiburg,Eintracht Frankfurt,home,86.73,72.25,12,5
663,Bayer 04 Leverkusen,Borussia Dortmund,home,265.03,390.65,10,2
664,VfL Wolfsburg,1.FSV Mainz 05,draw,203.08,96.73,13,8
665,FC Schalke 04,Borussia Mönchengladbach,home,217.25,162.18,18,4
666,Borussia Dortmund,Hertha BSC,draw,390.65,96.53,3,2
667,Borussia Mönchengladbach,Hamburger SV,draw,162.18,80.48,9,18
668,1.FC Köln,FC Ingolstadt 04,home,116.15,38.63,4,17
669,FC Augsburg,FC Schalke 04,draw,65.85,217.25,12,16
670,TSG 1899 Hoffenheim,SC Freiburg,home,138.63,86.73,7,10
671,Eintracht Frankfurt,FC Bayern München,draw,72.25,562.55,8,1
672,SV Werder Bremen,Bayer 04 Leverkusen,home,89.45,265.03,15,6
673,1.FSV Mainz 05,SV Darmstadt 98,home,96.73,25.98,11,14
674,VfL Wolfsburg,RasenBallsport Leipzig,away,203.08,176.33,13,5
675,Hamburger SV,Eintracht Frankfurt,away,80.48,72.25,17,8
676,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,away,265.03,138.63,10,6
677,Hertha BSC,1.FC Köln,home,96.53,116.15,4,2
678,FC Ingolstadt 04,Borussia Dortmund,draw,38.63,390.65,18,5
679,SV Darmstadt 98,VfL Wolfsburg,home,25.98,203.08,15,14
680,SC Freiburg,FC Augsburg,home,86.73,65.85,11,12
681,FC Bayern München,Borussia Mönchengladbach,home,562.55,162.18,1,9
682,RasenBallsport Leipzig,SV Werder Bremen,home,176.33,89.45,3,13
683,FC Schalke 04,1.FSV Mainz 05,home,217.25,96.73,16,7
684,Borussia Mönchengladbach,Eintracht Frankfurt,draw,162.18,72.25,10,7
685,1.FSV Mainz 05,FC Ingolstadt 04,home,96.73,38.63,9,17
686,VfL Wolfsburg,Bayer 04 Leverkusen,away,203.08,265.03,16,11
687,FC Augsburg,FC Bayern München,away,65.85,562.55,12,1
688,SV Werder Bremen,SC Freiburg,away,89.45,86.73,15,8
689,SV Darmstadt 98,RasenBallsport Leipzig,away,25.98,176.33,13,2
690,Borussia Dortmund,FC Schalke 04,draw,390.65,217.25,6,14
691,TSG 1899 Hoffenheim,Hertha BSC,home,138.63,96.53,4,3
692,1.FC Köln,Hamburger SV,home,116.15,80.48,5,18
693,Hertha BSC,Borussia Mönchengladbach,home,96.53,162.18,5,11
694,FC Bayern München,TSG 1899 Hoffenheim,draw,562.55,138.63,1,3
695,Bayer 04 Leverkusen,SV Darmstadt 98,home,265.03,25.98,10,14
696,Hamburger SV,Borussia Dortmund,away,80.48,390.65,18,6
697,FC Ingolstadt 04,FC Augsburg,away,38.63,65.85,17,13
698,SC Freiburg,VfL Wolfsburg,away,86.73,203.08,8,16
699,Eintracht Frankfurt,1.FC Köln,home,72.25,116.15,7,4
700,RasenBallsport Leipzig,1.FSV Mainz 05,home,176.33,96.73,2,9
701,FC Schalke 04,SV Werder Bremen,home,217.25,89.45,12,15
702,Bayer 04 Leverkusen,RasenBallsport Leipzig,away,265.03,176.33,8,2
703,Borussia Mönchengladbach,1.FC Köln,away,162.18,116.15,11,6
704,1.FSV Mainz 05,SC Freiburg,home,96.73,86.73,10,9
705,VfL Wolfsburg,FC Schalke 04,away,203.08,217.25,14,12
706,FC Augsburg,Hertha BSC,draw,65.85,96.53,13,4
707,SV Darmstadt 98,FC Ingolstadt 04,away,25.98,38.63,15,17
708,Borussia Dortmund,FC Bayern München,home,390.65,562.55,5,1
709,TSG 1899 Hoffenheim,Hamburger SV,draw,138.63,80.48,3,18
710,SV Werder Bremen,Eintracht Frankfurt,away,89.45,72.25,16,7
711,SC Freiburg,RasenBallsport Leipzig,away,86.73,176.33,10,1
712,Borussia Mönchengladbach,TSG 1899 Hoffenheim,draw,162.18,138.63,13,5
713,1.FC Köln,FC Augsburg,draw,116.15,65.85,4,12
714,Hamburger SV,SV Werder Bremen,draw,80.48,89.45,18,16
715,FC Ingolstadt 04,VfL Wolfsburg,draw,38.63,203.08,17,14
716,Eintracht Frankfurt,Borussia Dortmund,home,72.25,390.65,7,3
717,FC Bayern München,Bayer 04 Leverkusen,home,562.55,265.03,2,9
718,FC Schalke 04,SV Darmstadt 98,home,217.25,25.98,11,15
719,Hertha BSC,1.FSV Mainz 05,home,96.53,96.73,6,8
720,1.FSV Mainz 05,FC Bayern München,away,96.73,562.55,9,2
721,Borussia Dortmund,Borussia Mönchengladbach,home,390.65,162.18,7,13
722,Bayer 04 Leverkusen,SC Freiburg,draw,265.03,86.73,10,11
723,VfL Wolfsburg,Hertha BSC,away,203.08,96.53,14,3
724,TSG 1899 Hoffenheim,1.FC Köln,home,138.63,116.15,6,5
725,SV Werder Bremen,FC Ingolstadt 04,home,89.45,38.63,16,17
726,RasenBallsport Leipzig,FC Schalke 04,home,176.33,217.25,1,8
727,SV Darmstadt 98,Hamburger SV,away,25.98,80.48,15,18
728,FC Augsburg,Eintracht Frankfurt,draw,65.85,72.25,12,4
729,Eintracht Frankfurt,TSG 1899 Hoffenheim,draw,72.25,138.63,5,4
730,FC Bayern München,VfL Wolfsburg,home,562.55,203.08,2,15
731,1.FC Köln,Borussia Dortmund,draw,116.15,390.65,7,6
732,Hamburger SV,FC Augsburg,home,80.48,65.85,17,12
733,FC Ingolstadt 04,RasenBallsport Leipzig,home,38.63,176.33,18,1
734,SC Freiburg,SV Darmstadt 98,home,86.73,25.98,11,16
735,Hertha BSC,SV Werder Bremen,away,96.53,89.45,3,14
736,Borussia Mönchengladbach,1.FSV Mainz 05,home,162.18,96.73,13,10
737,FC Schalke 04,Bayer 04 Leverkusen,away,217.25,265.03,8,9
738,TSG 1899 Hoffenheim,Borussia Dortmund,draw,138.63,390.65,4,6
739,FC Schalke 04,SC Freiburg,draw,217.25,86.73,10,9
740,1.FSV Mainz 05,Hamburger SV,home,96.73,80.48,11,16
741,FC Augsburg,Borussia Mönchengladbach,home,65.85,162.18,13,12
742,SV Werder Bremen,1.FC Köln,draw,89.45,116.15,14,7
743,RasenBallsport Leipzig,Hertha BSC,home,176.33,96.53,2,3
744,VfL Wolfsburg,Eintracht Frankfurt,home,203.08,72.25,15,5
745,SV Darmstadt 98,FC Bayern München,away,25.98,562.55,18,1
746,Bayer 04 Leverkusen,FC Ingolstadt 04,away,265.03,38.63,8,17
747,Borussia Dortmund,FC Augsburg,draw,390.65,65.85,5,12
748,Borussia Mönchengladbach,VfL Wolfsburg,away,162.18,203.08,13,15
749,Hamburger SV,FC Schalke 04,home,80.48,217.25,17,11
750,Eintracht Frankfurt,1.FSV Mainz 05,home,72.25,96.73,6,8
751,FC Bayern München,RasenBallsport Leipzig,home,562.55,176.33,1,2
752,1.FC Köln,Bayer 04 Leverkusen,draw,116.15,265.03,7,9
753,FC Ingolstadt 04,SC Freiburg,away,38.63,86.73,16,10
754,TSG 1899 Hoffenheim,SV Werder Bremen,draw,138.63,89.45,3,14
755,Hertha BSC,SV Darmstadt 98,home,96.53,25.98,4,18
756,SC Freiburg,FC Bayern München,away,86.73,562.55,8,1
757,FC Schalke 04,FC Ingolstadt 04,home,217.25,38.63,11,17
