,HT,AT,R,MV_HT,MV_AT,POS_HT,POS_AT
1932,1.FC Union Berlin,FC Bayern München,draw,82.05,858.23,6,1
1933,FC Augsburg,FC Schalke 04,draw,93.05,123.05,11,18
1934,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,home,373.25,228.15,2,10
1935,Eintracht Frankfurt,Borussia Mönchengladbach,draw,269.15,300.75,9,8
1936,Hertha BSC,1.FSV Mainz 05,draw,228.88,163.30,11,17
1937,SV Werder Bremen,Borussia Dortmund,away,111.98,628.40,13,5
1938,VfB Stuttgart,1.FC Union Berlin,draw,189.25,82.05,7,6
1939,FC Schalke 04,SC Freiburg,away,123.05,139.10,18,14
1940,FC Bayern München,VfL Wolfsburg,home,858.23,256.83,2,4
1941,TSG 1899 Hoffenheim,RasenBallsport Leipzig,away,228.15,574.95,12,3
1942,1.FC Köln,Bayer 04 Leverkusen,away,118.20,373.25,15,1
1943,Arminia Bielefeld,FC Augsburg,away,56.73,93.05,16,10
1944,1.FC Union Berlin,Borussia Dortmund,home,82.05,628.40,6,4
1945,RasenBallsport Leipzig,1.FC Köln,draw,574.95,118.20,3,15
1946,Borussia Mönchengladbach,TSG 1899 Hoffenheim,away,300.75,228.15,8,13
1947,FC Schalke 04,Arminia Bielefeld,away,123.05,56.73,18,16
1948,1.FSV Mainz 05,SV Werder Bremen,away,163.30,111.98,17,14
1949,FC Augsburg,Eintracht Frankfurt,away,93.05,269.15,9,10
1950,Bayer 04 Leverkusen,FC Bayern München,away,373.25,858.23,1,2
1951,SC Freiburg,Hertha BSC,home,139.10,228.88,11,12
1952,VfL Wolfsburg,VfB Stuttgart,home,256.83,189.25,5,7
1953,TSG 1899 Hoffenheim,SC Freiburg,away,228.15,139.10,12,10
1954,Eintracht Frankfurt,Bayer 04 Leverkusen,home,269.15,373.25,9,2
1955,1.FC Köln,FC Augsburg,away,118.20,93.05,15,11
1956,SV Werder Bremen,1.FC Union Berlin,away,111.98,82.05,13,6
1957,Arminia Bielefeld,Borussia Mönchengladbach,away,56.73,300.75,16,8
1958,Hertha BSC,FC Schalke 04,home,228.88,123.05,14,18
1959,VfB Stuttgart,RasenBallsport Leipzig,away,189.25,574.95,7,3
1960,Borussia Dortmund,VfL Wolfsburg,home,628.40,256.83,5,4
1961,FC Bayern München,1.FSV Mainz 05,home,858.23,163.30,1,17
1962,Borussia Mönchengladbach,FC Bayern München,home,300.75,858.23,7,1
1963,Bayer 04 Leverkusen,SV Werder Bremen,draw,373.25,111.98,3,14
1964,SC Freiburg,1.FC Köln,home,139.10,118.20,9,15
1965,1.FC Union Berlin,VfL Wolfsburg,draw,82.05,256.83,5,6
1966,FC Schalke 04,TSG 1899 Hoffenheim,home,123.05,228.15,18,13
1967,1.FSV Mainz 05,Eintracht Frankfurt,away,163.30,269.15,17,8
1968,RasenBallsport Leipzig,Borussia Dortmund,away,574.95,628.40,2,4
1969,FC Augsburg,VfB Stuttgart,away,93.05,189.25,10,11
1970,Arminia Bielefeld,Hertha BSC,home,56.73,228.88,16,12
1971,1.FC Union Berlin,Bayer 04 Leverkusen,home,82.05,373.25,5,3
1972,Borussia Dortmund,1.FSV Mainz 05,draw,628.40,163.30,4,18
1973,TSG 1899 Hoffenheim,Arminia Bielefeld,draw,228.15,56.73,14,15
1974,VfL Wolfsburg,RasenBallsport Leipzig,draw,256.83,574.95,6,2
1975,1.FC Köln,Hertha BSC,draw,118.20,228.88,16,12
1976,SV Werder Bremen,FC Augsburg,home,111.98,93.05,13,11
1977,VfB Stuttgart,Borussia Mönchengladbach,draw,189.25,300.75,10,7
1978,FC Bayern München,SC Freiburg,home,858.23,139.10,1,8
1979,Eintracht Frankfurt,FC Schalke 04,home,269.15,123.05,9,17
1980,Borussia Mönchengladbach,SV Werder Bremen,home,300.75,111.98,8,12
1981,Bayer 04 Leverkusen,Borussia Dortmund,home,373.25,628.40,3,4
1982,Hertha BSC,TSG 1899 Hoffenheim,away,228.88,228.15,13,14
1983,1.FSV Mainz 05,VfL Wolfsburg,away,163.30,256.83,17,6
1984,FC Schalke 04,1.FC Köln,away,123.05,118.20,18,16
1985,RasenBallsport Leipzig,1.FC Union Berlin,home,574.95,82.05,2,5
1986,SC Freiburg,Eintracht Frankfurt,draw,139.10,269.15,9,7
1987,FC Augsburg,FC Bayern München,away,93.05,858.23,11,1
1988,Arminia Bielefeld,VfB Stuttgart,home,56.73,189.25,15,10
1989,Borussia Mönchengladbach,Borussia Dortmund,home,300.75,628.40,7,4
1990,Bayer 04 Leverkusen,VfL Wolfsburg,away,373.25,256.83,3,5
1991,SC Freiburg,VfB Stuttgart,home,139.10,189.25,9,10
1992,1.FSV Mainz 05,RasenBallsport Leipzig,home,163.30,574.95,17,2
1993,FC Augsburg,1.FC Union Berlin,home,93.05,82.05,12,6
1994,Arminia Bielefeld,Eintracht Frankfurt,away,56.73,269.15,15,8
1995,Hertha BSC,SV Werder Bremen,away,228.88,111.98,14,13
1996,FC Schalke 04,FC Bayern München,away,123.05,858.23,18,1
1997,TSG 1899 Hoffenheim,1.FC Köln,home,228.15,118.20,11,16
1998,VfB Stuttgart,1.FSV Mainz 05,home,189.25,163.30,10,17
1999,FC Bayern München,TSG 1899 Hoffenheim,home,858.23,228.15,1,11
2000,Borussia Dortmund,FC Augsburg,home,628.40,93.05,7,12
2001,Eintracht Frankfurt,Hertha BSC,home,269.15,228.88,6,14
2002,1.FC Union Berlin,Borussia Mönchengladbach,draw,82.05,300.75,8,5
2003,SV Werder Bremen,FC Schalke 04,draw,111.98,123.05,13,18
2004,RasenBallsport Leipzig,Bayer 04 Leverkusen,home,574.95,373.25,2,3
2005,1.FC Köln,Arminia Bielefeld,home,118.20,56.73,16,15
2006,VfL Wolfsburg,SC Freiburg,home,256.83,139.10,4,9
2007,Hertha BSC,FC Bayern München,away,228.88,858.23,15,1
2008,Bayer 04 Leverkusen,VfB Stuttgart,home,373.25,189.25,5,10
2009,SC Freiburg,Borussia Dortmund,home,139.10,628.40,9,6
2010,FC Schalke 04,RasenBallsport Leipzig,away,123.05,574.95,18,2
2011,1.FSV Mainz 05,1.FC Union Berlin,home,163.30,82.05,17,8
2012,FC Augsburg,VfL Wolfsburg,away,93.05,256.83,13,3
2013,Borussia Mönchengladbach,1.FC Köln,away,300.75,118.20,7,14
2014,TSG 1899 Hoffenheim,Eintracht Frankfurt,away,228.15,269.15,12,4
2015,Arminia Bielefeld,SV Werder Bremen,away,56.73,111.98,16,11
2016,RasenBallsport Leipzig,FC Augsburg,home,574.95,93.05,2,13
2017,Borussia Dortmund,TSG 1899 Hoffenheim,draw,628.40,228.15,6,12
2018,Bayer 04 Leverkusen,1.FSV Mainz 05,draw,373.25,163.30,5,17
2019,SV Werder Bremen,SC Freiburg,draw,111.98,139.10,11,8
2020,VfB Stuttgart,Hertha BSC,draw,189.25,228.88,10,15
2021,1.FC Union Berlin,FC Schalke 04,draw,82.05,123.05,9,18
2022,Eintracht Frankfurt,1.FC Köln,home,269.15,118.20,4,14
2023,VfL Wolfsburg,Borussia Mönchengladbach,draw,256.83,300.75,3,7
2024,FC Bayern München,Arminia Bielefeld,draw,858.23,56.73,1,16
2025,Arminia Bielefeld,VfL Wolfsburg,away,56.73,256.83,16,4
2026,Borussia Mönchengladbach,1.FSV Mainz 05,away,300.75,163.30,7,17
2027,SC Freiburg,1.FC Union Berlin,away,139.10,82.05,8,9
2028,Eintracht Frankfurt,FC Bayern München,home,269.15,858.23,3,1
2029,1.FC Köln,VfB Stuttgart,away,118.20,189.25,14,10
2030,FC Schalke 04,Borussia Dortmund,away,123.05,628.40,18,6
2031,FC Augsburg,Bayer 04 Leverkusen,draw,93.05,373.25,13,5
2032,Hertha BSC,RasenBallsport Leipzig,away,228.88,574.95,15,2
2033,TSG 1899 Hoffenheim,SV Werder Bremen,home,228.15,111.98,12,11
2034,SV Werder Bremen,Eintracht Frankfurt,home,111.98,269.15,12,4
2035,FC Bayern München,1.FC Köln,home,858.23,118.20,1,14
2036,Borussia Dortmund,Arminia Bielefeld,home,628.40,56.73,6,16
2037,VfL Wolfsburg,Hertha BSC,home,256.83,228.88,3,15
2038,VfB Stuttgart,FC Schalke 04,home,189.25,123.05,10,18
2039,RasenBallsport Leipzig,Borussia Mönchengladbach,home,574.95,300.75,2,8
2040,1.FC Union Berlin,TSG 1899 Hoffenheim,draw,82.05,228.15,7,11
2041,1.FSV Mainz 05,FC Augsburg,away,163.30,93.05,17,13
2042,Bayer 04 Leverkusen,SC Freiburg,away,373.25,139.10,5,9
2043,FC Schalke 04,1.FSV Mainz 05,draw,123.05,163.30,18,17
2044,Borussia Mönchengladbach,Bayer 04 Leverkusen,away,300.75,373.25,9,6
2045,TSG 1899 Hoffenheim,VfL Wolfsburg,home,228.15,256.83,12,3
2046,SC Freiburg,RasenBallsport Leipzig,away,139.10,574.95,8,2
2047,Eintracht Frankfurt,VfB Stuttgart,draw,269.15,189.25,4,10
2048,Hertha BSC,FC Augsburg,home,228.88,93.05,15,13
2049,FC Bayern München,Borussia Dortmund,home,858.23,628.40,1,5
2050,1.FC Köln,SV Werder Bremen,draw,118.20,111.98,14,11
2051,Arminia Bielefeld,1.FC Union Berlin,draw,56.73,82.05,16,7
2052,FC Augsburg,Borussia Mönchengladbach,home,93.05,300.75,13,10
2053,VfL Wolfsburg,FC Schalke 04,home,256.83,123.05,3,18
2054,1.FC Union Berlin,1.FC Köln,home,82.05,118.20,7,14
2055,SV Werder Bremen,FC Bayern München,away,111.98,858.23,12,1
2056,1.FSV Mainz 05,SC Freiburg,home,163.30,139.10,17,8
2057,Borussia Dortmund,Hertha BSC,home,628.40,228.88,6,15
2058,Bayer 04 Leverkusen,Arminia Bielefeld,away,373.25,56.73,5,16
2059,RasenBallsport Leipzig,Eintracht Frankfurt,draw,574.95,269.15,2,4
2060,VfB Stuttgart,TSG 1899 Hoffenheim,home,189.25,228.15,9,11
2061,Arminia Bielefeld,RasenBallsport Leipzig,away,56.73,574.95,15,2
2062,FC Bayern München,VfB Stuttgart,home,858.23,189.25,1,8
